State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
3,38,215,Mukerian,70410,335063,628.9731632785159,533.0,PUNJAB,Hoshiarpur,111.94436282939104,81.75298376723184,81.72276665246414,93.8439344855077,612.4463,0.9737
3,38,216,Hoshiarpur,119141,560346,1118.9858312539009,501.0,PUNJAB,Hoshiarpur,106.47230436018503,66.21533838021509,65.34442383394466,95.38778789163332,1159.3509,1.0361
3,38,217,Garhshankar,70245,330711,795.6684880828313,416.0,PUNJAB,Hoshiarpur,88.28425538034793,91.43814387788734,91.249199231262,98.29577264864756,704.6279,0.8856
3,39,218,Nawanshahr,89606,423546,774.6872659592757,547.0,PUNJAB,Shahid Bhagat Singh Nagar,115.66732013988012,77.28794511103871,76.98368412829498,93.92399977793433,197.0253,0.2543
3,39,219,Balachaur,39894,188764,507.3156709445866,372.0,PUNJAB,Shahid Bhagat Singh Nagar,78.63742889258701,84.52035345722702,84.68441369629518,96.00248895086564,301.3248,0.594
3,40,220,Bassi Pathana,18558,96163,225.3557605999468,427.0,PUNJAB,Fatehgarh Sahib,82.34979194938042,78.9024884830964,76.96950102381722,98.66877154947656,94.8935,0.4211
3,40,221,Fatehgarh Sahib,39387,202334,483.5137576831145,418.0,PUNJAB,Fatehgarh Sahib,81.45993650466814,71.28658554667035,69.78952446238607,94.1263305234403,256.2749,0.53
3,40,222,Amloh,42832,210628,270.84348228344345,778.0,PUNJAB,Fatehgarh Sahib,158.14299697703416,53.96528476745732,51.33311542771759,85.60053959165033,162.9473,0.6016
3,40,223,Khamanon,17323,91038,200.2778542139232,455.0,PUNJAB,Fatehgarh Sahib,86.49483522774689,88.86728618818516,87.96397852565953,96.37004299425205,152.2266,0.7601
3,41,224,Samrala,43311,223385,491.5808544642893,454.0,PUNJAB,Ludhiana,88.10554684274489,80.03715558340981,79.42324120893076,97.45718331247416,456.2032,0.928
3,41,225,Khanna,44917,222297,212.39822945194064,1047.0,PUNJAB,Ludhiana,211.47539749225345,42.35774661826295,41.670191686889154,88.3473604917219,263.4432,1.2403
3,41,226,Payal,41643,213545,428.980421780508,498.0,PUNJAB,Ludhiana,97.07436024040057,80.84057224472593,80.0302571860817,94.9811229354854,341.2693,0.7955
