subdistrict_name,state_name,fiber_length_km
Vidapanakal,ANDHRA PRADESH,86.6357
Guntakal,ANDHRA PRADESH,57.6692
Gooty,ANDHRA PRADESH,60.3675
Peddavadugur,ANDHRA PRADESH,128.9081
Yadiki,ANDHRA PRADESH,95.8435
Tadpatri,ANDHRA PRADESH,78.5693
Peddapappur,ANDHRA PRADESH,106.3041
Pamidi,ANDHRA PRADESH,73.3543
Vajrakarur,ANDHRA PRADESH,83.6612
Uravakonda,ANDHRA PRADESH,85.9494
Beluguppa,ANDHRA PRADESH,87.1251
Gummagatta,ANDHRA PRADESH,35.0042
Brahmasamudram,ANDHRA PRADESH,56.1342
Kalyandurg,ANDHRA PRADESH,79.2025
Atmakur,ANDHRA PRADESH,103.3828
Kudair,ANDHRA PRADESH,161.8368
Garladinne,ANDHRA PRADESH,160.6682
Singanamala,ANDHRA PRADESH,261.0248
Putlur,ANDHRA PRADESH,83.8078
Yellanur,ANDHRA PRADESH,63.4319
Narpala,ANDHRA PRADESH,165.6916
Bukkaraya Samudram,ANDHRA PRADESH,389.6138
Anantapur,ANDHRA PRADESH,906.0849
Raptadu,ANDHRA PRADESH,262.6366
Settur,ANDHRA PRADESH,50.1911
Kundurpi,ANDHRA PRADESH,43.4062
Kambadur,ANDHRA PRADESH,50.3344
Kanaganapalle,ANDHRA PRADESH,102.3824
Dharmavaram,ANDHRA PRADESH,132.1121
Bathalapalle,ANDHRA PRADESH,107.9024
Tadimarri,ANDHRA PRADESH,99.7979
Mudigubba,ANDHRA PRADESH,90.0865
Talupula,ANDHRA PRADESH,58.4453
